Name,|V| or n,|E| or m ,Simple Randomized or Randomized 1,Simple Greedy or Greedy 1,Semi-Greedy 1,LocalSearch-Iterations,LocalSearch-Average value,GRASP-Iterations,GRASP-Best Value,Known Best
G1,800,19176,9581,10940,11183,50,11370,50,11453,12078
G2,800,19176,9583,11029,11167,50,11383,50,11436,12084
G3,800,19176,9601,11002,11155,50,11387,50,11459,12077
G4,800,19176,9644,11070,11194,50,11394,50,11452,0
G5,800,19176,9638,10942,11207,50,11389,50,11467,0
G6,800,19176,36,1548,1647,50,1910,50,2020,0
G7,800,19176,-83,1344,1494,50,1738,50,1849,0
G8,800,19176,-106,1384,1442,50,1758,50,1850,0
G9,800,19176,-40,1487,1513,50,1781,50,1869,0
G10,800,19176,-54,1396,1436,50,1738,50,1833,0
G11,800,1600,18,432,484,50,479,50,496,627
G12,800,1600,-4,416,458,50,465,50,484,621
G13,800,1600,12,434,480,50,490,50,510,645
G14,800,4694,2347,2891,2932,50,2971,50,2992,3187
G15,800,4661,2314,2866,2920,50,2949,50,2964,3169
G16,800,4672,2335,2870,2934,50,2956,50,2974,3172
G17,800,4667,2328,2869,2924,50,2951,50,2971,0
G18,800,4694,21,781,822,50,865,50,899,0
G19,800,4661,-51,726,696,50,779,50,820,0
G20,800,4672,-15,729,726,50,807,50,850,0
G21,800,4667,-23,746,719,50,792,50,844,0
G22,2000,19990,9989,12341,12650,10,12902,10,12959,14123
G23,2000,19990,9996,12289,12768,10,12906,10,12956,14129
G24,2000,19990,9967,12389,12696,10,12915,10,12968,14131
G25,2000,19990,9971,12382,12635,10,12927,10,12937,0
G26,2000,19990,9999,12288,12640,10,12906,10,12973,0
G27,2000,19990,-14,2329,2541,10,2867,10,2914,0
G28,2000,19990,-63,2345,2459,10,2827,10,2830,0
G29,2000,19990,95,2393,2529,10,2933,10,3012,0
G30,2000,19990,49,2375,2560,10,2908,10,2974,0
G31,2000,19990,-2,2309,2557,10,2826,10,2900,0
G32,2000,4000,6,1058,1126,10,1192,10,1198,1560
G33,2000,4000,-9,1000,1118,10,1164,10,1194,1537
G34,2000,4000,-15,994,1146,10,1167,10,1194,1541
G35,2000,11778,5882,7271,7357,10,7442,10,7465,8000
G36,2000,11766,5855,7251,7363,10,7438,10,7469,7996
G37,2000,11785,5899,7278,7361,10,7449,10,7468,8009
G38,2000,11779,5936,7250,7348,10,7436,10,7460,0
G39,2000,11778,33,1898,1822,10,2069,10,2123,0
G40,2000,11766,-26,1799,1858,10,2065,10,2098,0
G41,2000,11785,2,1847,1895,10,2049,10,2120,0
G42,2000,11779,44,1893,1861,10,2143,10,2171,0
G43,1000,9990,4974,6190,6353,10,6443,10,6470,7027
G44,1000,9990,4990,6146,6291,10,6434,10,6484,7022
G45,1000,9990,5007,6205,6346,10,6445,10,6486,7020
G46,1000,9990,4998,6182,6321,10,6448,10,6460,0
G47,1000,9990,5001,6203,6378,10,6456,10,6463,0
G48,3000,6000,2992,5806,6000,10,6000,10,6000,6000
G49,3000,6000,2991,5886,6000,10,6000,10,6000,6000
G50,3000,6000,2987,5830,5852,10,5859,10,5874,5988
G51,1000,5909,2956,3626,3687,10,3732,10,3737,0
G52,1000,5916,2953,3634,3713,10,3731,10,3758,0
G53,1000,5914,2961,3639,3688,10,3730,10,3752,0
G54,1000,5916,2935,3621,3697,10,3727,10,3746,0
